Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Status
pamuklu-yatak-ortusu-200x220-cm-beyaz,"Pamuklu Yatak Örtüsü 200x220 cm – Beyaz | Taç","<p>Yatak odanıza sadelik ve şıklık katmak isteyenler için <strong>Taç</strong> imzalı bu <strong>%100 pamuklu yatak örtüsü</strong>, yumuşak dokusu ve nefes alabilen yapısıyla dört mevsim konfor sunar.</p><ul><li><strong>Materyal:</strong> %100 Doğal Pamuk</li><li><strong>Ölçü:</strong> 200x220 cm (Çift Kişilik)</li><li><strong>Renk:</strong> Beyaz</li><li><strong>Yıkama:</strong> 40°C'de makinede yıkanabilir</li><li><strong>Özellik:</strong> Solmaya karşı dayanıklı boyama teknolojisi</li></ul><p>Minimalist dekor anlayışıyla uyum sağlayan beyaz tonları, her yatak odası stiline kolaylıkla entegre olur. Misafir odaları, apart daireler ve günlük kullanım için ideal bir seçimdir.</p>",Taç,Ev Tekstili > Yatak Odası,Yatak Örtüsü,"yatak örtüsü, çift kişilik, pamuk, beyaz, Taç, ev tekstil",TRUE,Renk,Beyaz,TXT001,50,450.00,active
akrilik-salon-halisi-160x230-cm-mavi,"Akrilik Salon Halısı 160x230 cm – Mavi","<p>Salonunuzu canlı renkler ve modern desenlerle yeniden tasarlayın. <strong>160x230 cm</strong> boyutundaki bu <strong>akrilik salon halısı</strong>, dayanıklı yapısı ve kolay temizlenen yüzeyiyle uzun yıllar boyunca yaşam alanlarınıza eşlik eder.</p><ul><li><strong>Materyal:</strong> Yüksek Kalite Akrilik İplik</li><li><strong>Ölçü:</strong> 160x230 cm</li><li><strong>Renk:</strong> Mavi</li><li><strong>Özellik:</strong> Solmaz renk teknolojisi, kolay bakım</li><li><strong>Yığma Yüksekliği:</strong> 12 mm</li></ul><p>Oturma odası, misafir salonu ve ofis alanlarında kullanıma uygundur. Mavi tonlarındaki deseni, hem modern hem klasik dekor stillerine uyum sağlar.</p>",Genel,Ev Tekstili > Zemin Kaplamaları,Halı,"halı, salon halısı, akrilik halı, mavi, 160x230",TRUE,Renk,Mavi,TXT002,15,890.00,active
fon-perde-cift-kanatli-bej-ozdilek,"Fon Perde Çift Kanatlı 2x140x260 cm – Bej | Özdilek","<p><strong>Özdilek</strong> kalitesiyle üretilen bu <strong>çift kanatlı fon perde</strong>, güneş ışığını etkili biçimde filtreleyerek oturma odanıza huzurlu bir atmosfer kazandırır.</p><ul><li><strong>Materyal:</strong> %100 Polyester</li><li><strong>Ölçü:</strong> 2 x 140x260 cm (Çift Kanat)</li><li><strong>Renk:</strong> Bej</li><li><strong>Özellik:</strong> Işık geçirmeyen kaplama, dekoratif desen</li><li><strong>Montaj:</strong> Korniş veya ray sistemiyle uyumlu</li></ul><p>Bej tonu, nötr renk paleti sayesinde her iç mekan tasarımıyla bütünleşir. Yatak odası, oturma odası ve ofis kullanımına uygundur.</p>",Özdilek,Ev Tekstili > Perde,Fon Perde,"perde, fon perde, çift kanatlı, bej, Özdilek",TRUE,Renk,Bej,TXT003,30,320.00,active
yun-battaniye-cift-kisilik-gri,"Yün Battaniye Çift Kişilik 200x220 cm – Gri | Yataş","<p>Soğuk kış gecelerinde doğanın sıcaklığını hissedin. <strong>Yataş</strong> tarafından üretilen bu <strong>doğal yün battaniye</strong>, nefes alabilen yapısı ve ısı düzenleyici özelliğiyle dört mevsim konfor sağlar.</p><ul><li><strong>Materyal:</strong> %100 Doğal Yün</li><li><strong>Ölçü:</strong> 200x220 cm (Çift Kişilik)</li><li><strong>Renk:</strong> Gri</li><li><strong>Özellik:</strong> Antistatik, nem absorbe edici, hipoalerjenik</li><li><strong>Bakım:</strong> Kuru temizleme önerilir</li></ul><p>Doğal yün elyafı sayesinde hem sıcak hem de serinletici özelliklere sahiptir. Lüks yatak odaları ve kış tatil ürünleri için ideal bir seçimdir.</p>",Yataş,Ev Tekstili > Battaniye,Battaniye,"battaniye, yün battaniye, çift kişilik, gri, Yataş, kış",TRUE,Renk,Gri,TXT004,25,675.00,active
nevresim-takimi-200x220-cm-beyaz-tac,"Nevresim Takımı 200x220 cm – Beyaz | Taç","<p><strong>Taç</strong>'ın klasik tasarım anlayışıyla hazırlanan bu <strong>%100 pamuklu nevresim takımı</strong>, uyku kalitenizi artıracak yumuşak doku ve estetik görünümü bir arada sunar.</p><ul><li><strong>Materyal:</strong> %100 İplik Boyalı Pamuk</li><li><strong>Ölçü:</strong> 200x220 cm nevresim + 2 x 50x70 cm yastık kılıfı</li><li><strong>Renk:</strong> Beyaz</li><li><strong>İçerik:</strong> 4 Parça Set (nevresim + çarşaf + 2 yastık kılıfı)</li><li><strong>Yıkama:</strong> 60°C'de makinede yıkanabilir</li></ul><p>Oteller, apart daireler ve ev kullanımı için tercih edilen bu nevresim takımı, hijyenik beyaz tonuyla temizlik algısını güçlendirir.</p>",Taç,Ev Tekstili > Yatak Odası,Nevresim Takımı,"nevresim, nevresim takımı, pamuk, beyaz, Taç, çift kişilik",TRUE,Renk,Beyaz,TXT005,40,520.00,active
pamuk-yastik-kilifi-50x70-cm-beyaz,"Pamuk Yastık Kılıfı 50x70 cm – Beyaz | Özdilek","<p><strong>Özdilek</strong> kalite güvencesiyle üretilen bu <strong>pamuklu yastık kılıfı</strong>, yumuşak dokusu ve nefes alabilir yapısıyla gece boyunca konfor sağlar.</p><ul><li><strong>Materyal:</strong> %100 Pamuk</li><li><strong>Ölçü:</strong> 50x70 cm</li><li><strong>Renk:</strong> Beyaz</li><li><strong>Özellik:</strong> Fermuar kapatma sistemi, shrink-proof işlem</li><li><strong>Yıkama:</strong> 40°C'de makinede yıkanabilir</li></ul><p>Çift kişilik yatak takımlarıyla uyumlu bu yastık kılıfı, minimalist beyaz rengiyle her nevresim kombinasyonuyla mükemmel uyum sağlar. (Auto-corrected color: beya → beyaz)</p>",Özdilek,Ev Tekstili > Yatak Odası,Yastık Kılıfı,"yastık kılıfı, pamuk, beyaz, Özdilek, 50x70",TRUE,Renk,Beyaz,TXT006,100,85.00,active
banyo-havlusu-70x140-cm-pembe,"Banyo Havlusu 70x140 cm – Pembe | Mürdüm","<p><strong>Mürdüm</strong>'ün özenle ürettiği bu <strong>500 gr/m² banyo havlusu</strong>, yoğun pamuk dokusu sayesinde her banyodan sonra cildinizi nazikçe kurutur ve taze bir his bırakır.</p><ul><li><strong>Materyal:</strong> %100 Combed Cotton (Taramalı Pamuk)</li><li><strong>Ölçü:</strong> 70x140 cm</li><li><strong>Renk:</strong> Pembe</li><li><strong>Gramaj:</strong> 500 gr/m²</li><li><strong>Özellik:</strong> Çabuk kuruyan, antibakteriyel işlem, solmaz boyama</li></ul><p>Otel kalitesinde yumuşaklık ve emicilik sunan bu havlu, spa merkezleri, oteller ve günlük ev kullanımı için ideal bir tercihtir.</p>",Mürdüm,Ev Tekstili > Banyo,Havlu,"havlu, banyo havlusu, pembe, Mürdüm, pamuk, 500gr",TRUE,Renk,Pembe,TXT007,60,120.00,active
masa-ortusu-140x200-cm-kirmizi,"Masa Örtüsü 140x200 cm – Kırmızı","<p>Yemek masanıza renk ve şıklık katın. Bu <strong>dikdörtgen masa örtüsü</strong>, polyester karışımlı yapısıyla hem estetik görünüm sunar hem de kullanım kolaylığı sağlar.</p><ul><li><strong>Materyal:</strong> %100 Polyester</li><li><strong>Ölçü:</strong> 140x200 cm</li><li><strong>Renk:</strong> Kırmızı</li><li><strong>Özellik:</strong> Leke tutmaz yüzey, ütü gerektirmez</li><li><strong>Yıkama:</strong> 40°C'de makinede yıkanabilir</li></ul><p>Özel yemek davetleri, kahvaltı sofraları ve günlük kullanım için uygun olan bu masa örtüsü, kırmızı tonuyla sofranıza canlılık katar.</p>",Genel,Ev Tekstili > Mutfak,Masa Örtüsü,"masa örtüsü, kırmızı, mutfak, dikdörtgen, polyester",TRUE,Renk,Kırmızı,TXT008,35,180.00,active
banyo-paspasi-50x80-cm-gri,"Banyo Paspası Kaymaz Tabanlı 50x80 cm – Gri | HomePlus","<p><strong>HomePlus</strong>'ın güvenilir tasarımıyla üretilen bu <strong>kaymaz tabanlı banyo paspası</strong>, banyoda güvenli adımlar atmanızı sağlarken zemine şık bir görünüm katar.</p><ul><li><strong>Materyal:</strong> %100 Pamuk Üst Yüzey, Kaymaz Kauçuk Taban</li><li><strong>Ölçü:</strong> 50x80 cm</li><li><strong>Renk:</strong> Gri</li><li><strong>Özellik:</strong> Yüksek su emicilik, kaymaz kauçuk taban, hızlı kuruma</li><li><strong>Yıkama:</strong> 40°C'de makinede yıkanabilir</li></ul><p>Özellikle yaşlı bireyler ve çocuklar için güvenli kullanım sunan bu paspas, duş tekneleri ve banyo zeminleri için uygundur. (Name corrected from: bnyo paspasi)</p>",HomePlus,Ev Tekstili > Banyo,Banyo Paspası,"banyo paspası, kaymaz, gri, HomePlus, pamuk",TRUE,Renk,Gri,TXT009,45,95.00,active
cocuk-odasi-halisi-120x180-cm-renkli,"Çocuk Odası Halısı 120x180 cm – Renkli | Asos","<p><strong>Asos</strong> koleksiyonundan bu <strong>çocuk odası halısı</strong>, canlı renkleri ve eğlenceli desenleriyle küçüklerin hayal dünyasını yansıtır; dayanıklı yapısıyla yoğun kullanıma hazırdır.</p><ul><li><strong>Materyal:</strong> Polypropilen (PP) Elyaf</li><li><strong>Ölçü:</strong> 120x180 cm</li><li><strong>Renk:</strong> Renkli (Çok Renkli)</li><li><strong>Özellik:</strong> Leke tutmaz yüzey, kolay temizlik, solmaz renkler</li><li><strong>Kullanım:</strong> Çocuk odası, oyun alanı, kreş</li></ul><p>PP elyaf teknolojisi sayesinde halı tüylenmez ve uzun süre ilk günkü görünümünü korur. Kaymaz taban seçeneğiyle ekstra güvenlik sağlar.</p>",Asos,Ev Tekstili > Çocuk Odası,Halı,"halı, çocuk odası, renkli, Asos, polypropilen, 120x180",TRUE,Renk,Renkli,TXT010,20,340.00,active
